id,project,status,target_completion_date,highway_transit_line,estimated_total_budget,latitude,longitude,category,supporting_ministry,community,description,result,area,region,address,postal_code,municipal_funding,provincial_funding,federal_funding,other_funding,website
1,Brampton (A. Grenville and William Davis) Courthouse Addition - Phase 2,Complete,2023-12-01,,82500000,43.661701,-79.726047,Communities,Attorney General,Brampton,"Fit-out of the top four floors of the building addition, as well as renovations to the Land Registry Office. This project is being  delivered  with the Toronto Region Bail Centre as a P3 bundle, and the project budget of $82.3M includes both projects.","Increased number of courtrooms and associated administrative spaces, as well as additional judicial parking spaces.",Peel,Central,7755 Hurontario Street,L6W 4T1,,Yes,,,
2,Fort Frances Courthouse - Security  Improvements,Planning,2024-01-01,,0,,,Communities,Attorney General,Fort Frances,Creating single point of entry for all courthouse users and upgrading security equipment,Improved security as all courthouse users will have to be screened before entry into courthouse.,Rainy River,Northwest,333 Church Street,P9A 1C9,,Yes,,,
3,Gore Bay Courthouse - New Courtroom,Planning,,,0,,,Communities,Attorney General,Gore Bay,Creating new courtroom that is accessible.,Improved access to justice.,Manitoulin,Northeast,27 Phipps Street,P0P 1H0,,Yes,,,
4,Planning for new courthouse in Peterborough,Complete,2017-11-01,,0,44.304996,-78.32616,Communities,Attorney General,Peterborough,Plan to replace old courthouse,Plan will inform future Ontario Court of Justice and Superior Court of Justice needs in the community,Peterborough,East,,,,Yes,,,
5,Peterborough Courthouse - New Courtroom,Planning,,,0,,,Communities,Attorney General,Peterborough,Construction of new space at 470 Water Street and  renovation of space at 70 Simcoe Street which includes a new courtroom.,"Improved accessibility, security and access to justice with an additional courtroom.",Peterborough,East,70 Simcoe St,K9H 7G9,,Yes,,,
6,Sudbury Courthouse - Security Improvements,Planning,2025-10-01,,0,,,Communities,Attorney General,Sudbury,Creating single point of entry for all courthouse users and upgrading security equipment,Improved security as all courthouse users will have to be screened before entry into courthouse.,Sudbury,Northeast,155 Elm Street,P3C 1T6,,Yes,,,
7,Moving all Toronto-based Attorney General agencies and tribunals into one location,Complete,2019-07-01,,0,43.662665,-79.385172,Communities,Attorney General,Toronto,Renovating building at 25 Grosvenor St.,Centralized Tribunal operations will reduce energy use and footprint of ministry in Toronto,Toronto,Central,25 Grosvenor St,,,Yes,,,
8,New courthouse in Toronto,Complete,2023-01-01,,956400000,43.653618,-79.3862,Communities,Attorney General,Toronto,New provincial courthouse,Improved justice services to Torontonians in state-of-the-art facility,Toronto,Central,10 Armoury St,,,Yes,,,https://www.infrastructureontario.ca/en/what-we-do/projectssearch/new-toronto-courthouse/
9,Toronto Region Bail Centre,Complete,2022-12-01,,82500000,43.752606,-79.536505,Communities,Attorney General,Toronto,"Renovation of existing courthouse at 2201 Finch Ave. W.  This project is being  delivered  with the Brampton Courthouse Addition Phase 2 as a P3 bundle, and the project budget of $82.3M includes both projects.",Accommodation of the bail program associated with the new Toronto courthouse.,Toronto,Central,2201 Finch Ave. W.,M9M 2Y9,,Yes,,,
10,Grandview Children's Centre,Complete,2024-10-01,,31000000,43.879,-79.03,Communities,"Children, Community and Social Services",Ajax,New construction of a children's treatment centre in Ajax.,"The new centre will create more treatment spaces, shorter wait times and a modern facility so that families can access the care they need sooner.",Durham,Central,1461 Harwood Ave North,L1T 4T9,,Yes,Yes,Yes,https://www.news.ontario.ca/en/backgrounder/52484/grandview-childrens-centre-redevelopment-project
11,Attawapiskat Youth Centre,Complete,2018-04-01,,1200000,52.55,-82.26,Communities,"Children, Community and Social Services",Attawapiskat First Nation,Convert old band office into a youth centre,Improve outcomes for youth in Attawapiskat,Kenora,Northwest,,,,Yes,,,http://www.attawapiskat.org/
12,ErinoakKids Centre for Treatment and Development,Complete,2018-01-01,,64640000,43.78324,-79.701581,Communities,"Children, Community and Social Services",Brampton,Construction of new building,"At 121,000 sq. ft., new centre to include 26-bed respite house therapy pool and adapted fitness facility, two accessible playgrounds and more for children with special needs and their families",Peel,Central,10145 McVean Dr,L6P 4K7,,Yes,,,http://www.erinoakkids.ca/About-Us/Our-Future/Brampton-site.aspx
13,Children's Treatment Centre of Chatham-Kent Redevelopment Project,Under construction,2026-09-01,,0,42.39653112,-82.22730515,Communities,"Children, Community and Social Services",Chatham-Kent,"New construction of an approx. 58,000 sq.ft. Children's Treatment Centre (CTC) in Chatham.",The new facility will improve service capacity and provision for children and youth with special needs in the Chatham-Kent area.,Chatham-Kent,Southwest,901 McNaughton Avenue West(McNaughton Ave W & Bear Line Rd),N7L 5P7,,Yes,,Yes,https://www.news.ontario.ca/en/release/1001527/ontario-building-new-childrens-treatment-centre-in-chatham-kent
14,Five Counties Children's Treatment Centre,Complete,2017-07-01,,490000,43.9748,-78.17,Communities,"Children, Community and Social Services",Cobourg,Retrofit of building,Consolidate and enhance community hub,Northumberland,East,800 Division St.,K9A 5V2,,Yes,,Yes,http://www.fivecounties.on.ca/
