id,project,status,target_completion_date,highway_transit_line,estimated_total_budget,latitude,longitude,category,supporting_ministry,community,description,result,area,region,address,postal_code,municipal_funding,provincial_funding,federal_funding,other_funding,website
2,Fort Frances Courthouse - Security  Improvements,Planning,2024-01-01,,0,,,Communities,Attorney General,Fort Frances,Creating single point of entry for all courthouse users and upgrading security equipment,Improved security as all courthouse users will have to be screened before entry into courthouse.,Rainy River,Northwest,333 Church Street,P9A 1C9,,Yes,,,
3,Gore Bay Courthouse - New Courtroom,Planning,,,0,,,Communities,Attorney General,Gore Bay,Creating new courtroom that is accessible.,Improved access to justice.,Manitoulin,Northeast,27 Phipps Street,P0P 1H0,,Yes,,,
5,Peterborough Courthouse - New Courtroom,Planning,,,0,,,Communities,Attorney General,Peterborough,Construction of new space at 470 Water Street and  renovation of space at 70 Simcoe Street which includes a new courtroom.,"Improved accessibility, security and access to justice with an additional courtroom.",Peterborough,East,70 Simcoe St,K9H 7G9,,Yes,,,
6,Sudbury Courthouse - Security Improvements,Planning,2025-10-01,,0,,,Communities,Attorney General,Sudbury,Creating single point of entry for all courthouse users and upgrading security equipment,Improved security as all courthouse users will have to be screened before entry into courthouse.,Sudbury,Northeast,155 Elm Street,P3C 1T6,,Yes,,,
13,Children's Treatment Centre of Chatham-Kent Redevelopment Project,Under construction,2026-09-01,,0,42.39653112,-82.22730515,Communities,"Children, Community and Social Services",Chatham-Kent,"New construction of an approx. 58,000 sq.ft. Children's Treatment Centre (CTC) in Chatham.",The new facility will improve service capacity and provision for children and youth with special needs in the Chatham-Kent area.,Chatham-Kent,Southwest,901 McNaughton Avenue West(McNaughton Ave W & Bear Line Rd),N7L 5P7,,Yes,,Yes,https://www.news.ontario.ca/en/release/1001527/ontario-building-new-childrens-treatment-centre-in-chatham-kent
22,Partner Facility Renewal - Waasegiizhig Nanaandawe'iyewigamig,Under construction,2025-09-01,,480300,49.765004,-94.487563,Communities,"Children, Community and Social Services",Kenora,Structural,Minor capital projects for repair/renovation/upgrades of existing buildings that will provide more secure and accessible facilities for people who use their services.,Kenora,Northwest,212 4th Ave South,P9N 1Y9,,Yes,,,
34,CHEO Integrated Treatment Centre,Under construction,2027-11-01,,371370000,45.400974,-75.651314,Communities,"Children, Community and Social Services",Ottawa,"Construct a new state-of-the-art children’s treatment centre on the CHEO campus, to offer critical services for children and youth with special needs.","Consolidation of services and improved support for developmental, rehabilitation, behavioural and mental health..",Ottawa,East,401 Smyth Rd,K1H 8L1,,Yes,,Yes,https://www.news.ontario.ca/en/release/52689/ontario-supports-the-childrens-hospital-of-eastern-ontario
35,Ronald McDonald House Charities (RMHC) - Ottawa site,Under construction,2025-10-01,,0,43.879,-79.03,Communities,"Children, Community and Social Services",Ottawa,"New expansion of approximately 25,000 sq. ft. to add 22 new suites into the existing RMHC building in Ottawa to accommodate up to 36 families who are away from home, while their child is receiving care at the Children’s Hospital of Eastern Ontario (CHEO).","The project will add 22 more suites to create a 36-suite facility that can accommodate families travelling 80 km and further with a sick child at Children Hospital of Eastern Ontario (CHEO). The project will expand the building envelope, and install life systems and outdoor enhancements.",Ottawa,East,,,,Yes,Yes,Yes,
41,Partner Facility Renewal - Community Living Dryden - Sioux Lookout,Under construction,2025-09-01,,599000,50.098878,-91.914688,Communities,"Children, Community and Social Services",Sioux Lookout,"Heating, Ventilating & AC",Minor capital projects for repair/renovation/upgrades of existing buildings that will provide more secure and accessible facilities for people who use their services.,Kenora,Northwest,41 King Street,P8T 1B8,,Yes,,,
50,Partner Facility Renewal - Geneva Centre for Autism,Under construction,2025-09-01,,390000,43.697081,-79.392812,Communities,"Children, Community and Social Services",Toronto,Roof Assembly & Waterproofing,Minor capital projects for repair/renovation/upgrades of existing buildings that will provide more secure and accessible facilities for people who use their services.,Toronto,Central,112 Merton Street,M4S 2Z8,,Yes,,,
